Nome Município;Cod Município Completo
Porto Velho;1100205
Nova Mamoré;1100338
Buritis;1100452
Campo Novo de Rondônia;1100700
Candeias do Jamari;1100809
Cujubim;1100940
Itapuã do Oeste;1101104
Costa Marques;1100080
Guajará-Mirim;1100106
São Francisco do Guaporé;1101492
Ariquemes;1100023
Machadinho D'Oeste;1100130
Rio Crespo;1100262
Alto Paraíso;1100403
Cacaulândia;1100601
Monte Negro;1101401
Vale do Anari;1101757
Jaru;1100114
Ji-Paraná;1100122
Ouro Preto do Oeste;1100155
Presidente Médici;1100254
Governador Jorge Teixeira;1101005
Mirante da Serra;1101302
Nova União;1101435
Teixeirópolis;1101559
Theobroma;1101609
Urupá;1101708
Vale do Paraíso;1101807
Nova Brasilândia D'Oeste;1100148
São Miguel do Guaporé;1100320
Alvorada D'Oeste;1100346
Seringueiras;1101500
Alta Floresta D'Oeste;1100015
Cacoal;1100049
Espigão D'Oeste;1100098
Rolim de Moura;1100288
Santa Luzia D'Oeste;1100296
Alto Alegre dos Parecis;1100379
Novo Horizonte do Oeste;1100502
Castanheiras;1100908
Ministro Andreazza;1101203
Pimenta Bueno;1100189
Vilhena;1100304
Chupinguaia;1100924
Parecis;1101450
Primavera de Rondônia;1101476
São Felipe D'Oeste;1101484
Cabixi;1100031
Cerejeiras;1100056
Colorado do Oeste;1100064
Corumbiara;1100072
Pimenteiras do Oeste;1101468
Cruzeiro do Sul;1200203
Mâncio Lima;1200336
Marechal Thaumaturgo;1200351
Porto Walter;1200393
Rodrigues Alves;1200427
Feijó;1200302
Jordão;1200328
Tarauacá;1200609
Manoel Urbano;1200344
Santa Rosa do Purus;1200435
Sena Madureira;1200500
Acrelândia;1200013
Bujari;1200138
Capixaba;1200179
Plácido de Castro;1200385
Rio Branco;1200401
Senador Guiomard;1200450
Porto Acre;1200807
Assis Brasil;1200054
Brasiléia;1200104
Epitaciolândia;1200252
Xapuri;1200708
Barcelos;1300409
Novo Airão;1303205
Santa Isabel do Rio Negro;1303601
São Gabriel da Cachoeira;1303809
Japurá;1302108
Maraã;1302801
Amaturá;1300060
Atalaia do Norte;1300201
Benjamin Constant;1300607
Fonte Boa;1301605
Jutaí;1302306
Santo Antônio do Içá;1303700
São Paulo de Olivença;1303908
Tabatinga;1304062
Tonantins;1304237
Carauari;1301001
Eirunepé;1301407
Envira;1301506
Guajará;1301654
Ipixuna;1301803
Itamarati;1301951
Juruá;1302207
Alvarães;1300029
Tefé;1304203
Uarini;1304260
Anamã;1300086
Anori;1300102
Beruri;1300631
Caapiranga;1300839
Coari;1301209
Codajás;1301308
Autazes;1300300
Careiro;1301100
Careiro da Várzea;1301159
Iranduba;1301852
Manacapuru;1302504
Manaquiri;1302553
Manaus;1302603
Presidente Figueiredo;1303536
Rio Preto da Eva;1303569
Itacoatiara;1301902
Itapiranga;1302009
Nova Olinda do Norte;1303106
Silves;1304005
Urucurituba;1304401
Barreirinha;1300508
Boa Vista do Ramos;1300680
Maués;1302900
Nhamundá;1303007
Parintins;1303403
São Sebastião do Uatumã;1303957
Urucará;1304302
Boca do Acre;1300706
Pauini;1303502
Canutama;1300904
Lábrea;1302405
Tapauá;1304104
Apuí;1300144
Borba;1300805
Humaitá;1301704
Manicoré;1302702
Novo Aripuanã;1303304
Amajari;1400027
Alto Alegre;1400050
Boa Vista;1400100
Pacaraima;1400456
Bonfim;1400159
Cantá;1400175
Normandia;1400407
Uiramutã;1400704
Caracaraí;1400209
Iracema;1400282
Mucajaí;1400308
Caroebe;1400233
Rorainópolis;1400472
São João da Baliza;1400506
São Luiz;1400605
Faro;1503002
Juruti;1503903
Óbidos;1505106
Oriximiná;1505304
Terra Santa;1507979
Alenquer;1500404
Belterra;1501451
Curuá;1502855
Mojuí dos Campos;1504752
Monte Alegre;1504802
Placas;1505650
Prainha;1506005
Santarém;1506807
Almeirim;1500503
Porto de Moz;1505908
Bagre;1501105
Gurupá;1503101
Melgaço;1504505
Portel;1505809
Afuá;1500305
Anajás;1500701
Breves;1501808
Curralinho;1502806
São Sebastião da Boa Vista;1507706
Cachoeira do Arari;1502004
Chaves;1502509
Muaná;1504901
Ponta de Pedras;1505700
Salvaterra;1506302
Santa Cruz do Arari;1506401
Soure;1507904
Ananindeua;1500800
Barcarena;1501303
Belém;1501402
Benevides;1501501
Marituba;1504422
Santa Bárbara do Pará;1506351
Bujaru;1501907
Castanhal;1502400
Inhangapi;1503408
Santa Izabel do Pará;1506500
Santo Antônio do Tauá;1507003
Colares;1502608
Curuçá;1502905
Magalhães Barata;1504109
Maracanã;1504307
Marapanim;1504406
Salinópolis;1506203
São Caetano de Odivelas;1507102
São João da Ponta;1507466
São João de Pirabas;1507474
Terra Alta;1507961
Vigia;1508209
Augusto Corrêa;1500909
Bonito;1501600
Bragança;1501709
Capanema;1502202
Igarapé-Açu;1503200
Nova Timboteua;1505007
Peixe-Boi;1505601
Primavera;1506104
Quatipuru;1506112
Santa Maria do Pará;1506609
Santarém Novo;1506906
São Francisco do Pará;1507409
Tracuateua;1508035
Abaetetuba;1500107
Baião;1501204
Cametá;1502103
Igarapé-Miri;1503309
Limoeiro do Ajuru;1504000
Mocajuba;1504604
Oeiras do Pará;1505205
Acará;1500206
Concórdia do Pará;1502756
Moju;1504703
Tailândia;1507953
Tomé-Açu;1508001
Aurora do Pará;1500958
Cachoeira do Piriá;1501956
Capitão Poço;1502301
